x,y
18.740394592285156,-3.5375730991363525
18.787973403930664,-3.538149356842041
18.850317001342773,-3.5376415252685547
18.913061141967773,-3.53582501411438
18.958276748657227,-3.533950090408325
19.00459861755371,-3.531684398651123
19.065332412719727,-3.5282859802246094
19.112314224243164,-3.525395393371582
19.1765079498291,-3.5209226608276367
19.223901748657227,-3.5171337127685547
19.275360107421875,-3.512270450592041
19.348920822143555,-3.5044384002685547
19.423885345458984,-3.4959521293640137
19.477455139160156,-3.4894092082977295
19.559276580810547,-3.4779345989227295
19.634057998657227,-3.4659814834594727
19.69660186767578,-3.4550535678863525
19.78231430053711,-3.4385595321655273
19.84432029724121,-3.4258251190185547
19.929725646972656,-3.406850576400757
19.988080978393555,-3.393325090408325
20.074892044067383,-3.3719189167022705
20.15982437133789,-3.349604368209839
20.225032806396484,-3.331547737121582
20.317007064819336,-3.304086923599243
20.408916473388672,-3.2746238708496094
20.471874237060547,-3.253422737121582
20.576385498046875,-3.2154345512390137
20.63990592956543,-3.1914403438568115
20.749799728393555,-3.148139476776123
20.85246467590332,-3.1070556640625
20.921855926513672,-3.0789990425109863
21.021068572998047,-3.0391650199890137
21.112777709960938,-3.0025634765625
21.22269058227539,-2.959477424621582
21.289398193359375,-2.9334521293640137
21.3847599029541,-2.896967649459839
21.475858688354492,-2.8623387813568115
21.54732894897461,-2.8350536823272705
21.637386322021484,-2.8002002239227295
21.72354507446289,-2.7662744522094727
21.81141471862793,-2.730893611907959
21.88066864013672,-2.7024755477905273
21.974637985229492,-2.6633739471435547
22.07756233215332,-2.619389533996582
22.160463333129883,-2.5833349227905273
22.25946807861328,-2.539848566055298
22.370946884155273,-2.490971565246582
22.470853805541992,-2.447446346282959
22.54197120666504,-2.4165966510772705
22.641307830810547,-2.3741161823272705
22.748573303222656,-2.329038143157959
22.83576202392578,-2.2919774055480957
22.935897827148438,-2.2478368282318115
23.040903091430664,-2.200004816055298
23.14569854736328,-2.151420831680298
23.228065490722656,-2.1129541397094727
23.35299301147461,-2.054203987121582
23.467260360717773,-2.0002684593200684
23.556278228759766,-1.9581981897354126
23.674795150756836,-1.9021532535552979
23.846811294555664,-1.8206102848052979
23.977617263793945,-1.7586376667022705
24.076704025268555,-1.7117626667022705
24.2136173248291,-1.646791934967041
24.35260772705078,-1.5805517435073853
